순위,영화제목,평점
1,탑건: 매버릭,9.77
2,인생은 뷰티풀: 비타돌체,9.74
3,명탐정 코난: 할로윈의 신부,9.47
4,극장판 주술회전 0,9.23
5,사랑은 비를 타고,9.21
6,코다,9.14
7,1917,8.90
8,중경삼림,8.89
9,엘비스,8.83
10,고양이를 부탁해,8.81
11,너의 이름은.,8.81
12,한산: 용의 출현,8.76
13,본 투 비 블루,8.73
14,헤어질 결심,8.68
15,공조2: 인터내셔날,8.67
16,"지금, 이대로가 좋아요",8.65
17,육사오(6/45),8.63
18,라라랜드,8.62
19,실버라이닝 플레이북,8.57
20,헌트,8.43
21,초속5센티미터,8.36
22,큐어,8.33
23,비비안 마이어를 찾아서,8.32
24,리스본행 야간열차,8.31
25,킬 빌 - 1부,8.30
26,애프터 양,8.18
27,릴리 슈슈의 모든 것,8.12
28,날씨의 아이,7.96
29,DC 리그 오브 슈퍼-펫,7.78
30,사랑할 땐 누구나 최악이 된다,7.71
31,블랙폰,7.69
32,킬 빌 - 2부,7.61
33,썸머 필름을 타고!,7.54
34,놉,6.77
35,비상선언,6.51
36,브로커,5.54
37,늑대사냥,4.33
